Tree node ID,Tree node label,Color,Label
Unclass. Nyamiviridae,Unclass. Nyamiviridae,,
Morbillivirus,Morbillivirus,,
Henipavirus,Henipavirus,,
Orthorubulavirus,Orthorubulavirus,,
Metaavulavirus,Metaavulavirus,,
Respirovirus,Respirovirus,,
Jeilongvirus,Jeilongvirus,,
Orthoavulavirus,Orthoavulavirus,,
Pararubulavirus,Pararubulavirus,,
Aquaparamyxovirus,Aquaparamyxovirus,,
Unclass. Paramyxoviridae,Unclass. Paramyxoviridae,,
Paraavulavirus,Paraavulavirus,,
Narmovirus,Narmovirus,,
Hoplichthysvirus,Hoplichthysvirus,,
Ferlavirus,Ferlavirus,,
Nucleorhabdovirus,Nucleorhabdovirus,,
Vesiculovirus,Vesiculovirus,,
Ledantevirus,Ledantevirus,,
Cytorhabdovirus,Cytorhabdovirus,,
Unclass. Rhabdoviridae,Unclass. Rhabdoviridae,,
Lyssavirus,Lyssavirus,,
Hapavirus,Hapavirus,,
Perhabdovirus,Perhabdovirus,,
Ephemerovirus,Ephemerovirus,,
Alphanucleorhabdovirus,Alphanucleorhabdovirus,,
Dichorhavirus,Dichorhavirus,,
Sigmavirus,Sigmavirus,,
Novirhabdovirus,Novirhabdovirus,,
Varicosavirus,Varicosavirus,,
Curiovirus,Curiovirus,,
Tibrovirus,Tibrovirus,,
Sripuvirus,Sripuvirus,,
Sprivivirus,Sprivivirus,,
Sawgrhavirus,Sawgrhavirus,,
Sunrhavirus,Sunrhavirus,,
Alphanemrhavirus,Alphanemrhavirus,,
Barhavirus,Barhavirus,,
Almendravirus,Almendravirus,,
Ohlsrhavirus,Ohlsrhavirus,,
Tupavirus,Tupavirus,,
Caligrhavirus,Caligrhavirus,,
Unclass. Pisuviricota G,Unclass. Pisuviricota G,,
Unclass. Duplopiviricetes G,Unclass. Duplopiviricetes G,,
Unclass. Durnavirales G,Unclass. Durnavirales G,,
Unclass. Hypoviridae,Unclass. Hypoviridae,,
Hypovirus,Hypovirus,,
Unclass. Picobirnaviridae,Unclass. Picobirnaviridae,,
Picobirnavirus,Picobirnavirus,,
Amalgavirus,Amalgavirus,,
Zybavirus,Zybavirus,,
Unclass. Amalgaviridae,Unclass. Amalgaviridae,,
Deltapartitivirus,Deltapartitivirus,,
Unclass. Partitiviridae,Unclass. Partitiviridae,,
Betapartitivirus,Betapartitivirus,,
Alphapartitivirus,Alphapartitivirus,,
Gammapartitivirus,Gammapartitivirus,,
Cryspovirus,Cryspovirus,,
Unclass. Stelpaviricetes G,Unclass. Stelpaviricetes G,,
Unclass. Stellavirales G,Unclass. Stellavirales G,,
Unclass. Astroviridae,Unclass. Astroviridae,,
Mamastrovirus,Mamastrovirus,,
Avastrovirus,Avastrovirus,,
Unclass. Patatavirales G,Unclass. Patatavirales G,,
Potyvirus,Potyvirus,,
Macluravirus,Macluravirus,,
Poacevirus,Poacevirus,,
Ipomovirus,Ipomovirus,,
Unclass. Potyviridae,Unclass. Potyviridae,,
Tritimovirus,Tritimovirus,,
Bymovirus,Bymovirus,,
Arepavirus,Arepavirus,,
Rymovirus,Rymovirus,,
Roymovirus,Roymovirus,,
Unclass. Pisoniviricetes G,Unclass. Pisoniviricetes G,,
Unclass. Sobelivirales G,Unclass. Sobelivirales G,,
Unclass. Barnaviridae,Unclass. Barnaviridae,,
Barnavirus,Barnavirus,,
Sobemovirus,Sobemovirus,,
Unclass. Solemoviridae,Unclass. Solemoviridae,,
Polemovirus,Polemovirus,,
Okavirus,Okavirus,,
Unclass. Nidovirales G,Unclass. Nidovirales G,,
Unclass. Euroniviridae,Unclass. Euroniviridae,,
Sajorinivirus,Sajorinivirus,,
Unclass. Mesoniviridae,Unclass. Mesoniviridae,,
Alphamesonivirus,Alphamesonivirus,,
Pregotovirus,Pregotovirus,,
Torovirus,Torovirus,,
Unclass. Tobaniviridae,Unclass. Tobaniviridae,,
Oncotshavirus,Oncotshavirus,,
Betacoronavirus,Betacoronavirus,,
Alphacoronavirus,Alphacoronavirus,,
Deltacoronavirus,Deltacoronavirus,,
Gammacoronavirus,Gammacoronavirus,,
Unclass. Coronaviridae,Unclass. Coronaviridae,,
Unclass. Arteriviridae,Unclass. Arteriviridae,,
Betaarterivirus,Betaarterivirus,,
Iotaarterivirus,Iotaarterivirus,,
Etaarterivirus,Etaarterivirus,,
Epsilonarterivirus,Epsilonarterivirus,,
Deltaarterivirus,Deltaarterivirus,,
Kappaarterivirus,Kappaarterivirus,,
Thetaarterivirus,Thetaarterivirus,,
