,Tree node ID,Tree node label,palmdb_sp_count,ncbi_sp_count,palmdb_sp_count_log,ncbi_sp_count_log,palmdb_sp_count_log-ncbi_sp_count_log
84,Betanodavirus,Betanodavirus,38,5,3.6375861597263857,1.6094379124341003,2.028148247292285
85,Unclass. Nodaviridae,Unclass. Nodaviridae,347,NA,5.849324779946859,0.0,5.849324779946859
86,Alphanodavirus,Alphanodavirus,137,5,4.919980925828125,1.6094379124341003,3.3105430133940246
87,Unclass. Tolucaviricetes G,Unclass. Tolucaviricetes G,1933,NA,7.566828479208331,0.0,7.566828479208331
88,Unclass. Tolivirales G,Unclass. Tolivirales G,2727,NA,7.910957382845589,0.0,7.910957382845589
89,Unclass. Carmotetraviridae,Unclass. Carmotetraviridae,1,NA,0.0,0.0,0.0
90,Alphacarmotetravirus,Alphacarmotetravirus,5,1,1.6094379124341003,0.0,1.6094379124341003
91,Enamovirus,Enamovirus,52,7,3.9512437185814275,1.9459101490553132,2.0053335695261145
92,Luteovirus,Luteovirus,171,16,5.14166355650266,2.772588722239781,2.369074834262879
93,Polerovirus,Polerovirus,579,42,6.361302477572996,3.7376696182833684,2.623632859289627
94,Unclass. Luteoviridae,Unclass. Luteoviridae,124,NA,4.820281565605037,0.0,4.820281565605037
95,Betanecrovirus,Betanecrovirus,143,3,4.962844630259907,1.0986122886681098,3.864232341591797
96,Pelarspovirus,Pelarspovirus,35,8,3.5553480614894135,2.0794415416798357,1.4759065198095778
97,Umbravirus,Umbravirus,118,11,4.770684624465665,2.3978952727983707,2.3727893516672944
98,Tombusvirus,Tombusvirus,292,16,5.676753802268282,2.772588722239781,2.9041650800285006
99,Gammacarmovirus,Gammacarmovirus,95,4,4.553876891600541,1.3862943611198906,3.16758253048065
100,Aureusvirus,Aureusvirus,88,6,4.477336814478207,1.791759469228055,2.685577345250152
101,Machlomovirus,Machlomovirus,26,1,3.258096538021482,0.0,3.258096538021482
102,Alphanecrovirus,Alphanecrovirus,46,4,3.828641396489095,1.3862943611198906,2.4423470353692043
103,Betacarmovirus,Betacarmovirus,21,4,3.044522437723423,1.3862943611198906,1.6582280766035324
