,u10 Ensembl ID,u10 weight,u102540 Ensembl ID,u102540 weight,u11150 Ensembl ID,u11150 weight,u202260 Ensembl ID,u202260 weight,u39566 Ensembl ID,u39566 weight,u134800 Ensembl ID,u134800 weight,u102324 Ensembl ID,u102324 weight
2018,ENSMMUG00000044121.2,-0.0017284838855744517,ENSMMUG00000003356.4,-0.0009918467849231206,ENSMMUG00000000857.4,0.0,ENSMMUG00000005805.4,-0.10963984962808632,ENSMMUG00000006347.4,-0.039789417257902776,ENSMMUG00000047506.2,-0.054490481957085814,ENSMMUG00000016043.4,-0.0980912959887945
2019,ENSMMUG00000060156.1,-0.0017754748019354167,ENSMMUG00000063858.1,-0.001060555055956313,ENSMMUG00000000826.4,0.0,ENSMMUG00000055567.1,-0.10970893177059776,ENSMMUG00000057811.1,-0.039900125046030153,ENSMMUG00000064469.1,-0.05452280837420641,ENSMMUG00000065044.1,-0.09817855968953608
2020,ENSMMUG00000011061.4,-0.0017980339189972456,ENSMMUG00000055852.1,-0.001317389520490561,ENSMMUG00000000824.4,0.0,ENSMMUG00000009833.4,-0.11047056257125898,ENSMMUG00000049645.1,-0.0399403172305636,ENSMMUG00000050062.1,-0.05452280837420641,ENSMMUG00000061186.1,-0.0982149269363319
2021,ENSMMUG00000056872.1,-0.0017997827368002352,ENSMMUG00000005229.4,-0.0013634190920910948,ENSMMUG00000000797.4,0.0,ENSMMUG00000057196.1,-0.11075612160969835,ENSMMUG00000061487.1,-0.0401919058598863,ENSMMUG00000056618.1,-0.05466196067772719,ENSMMUG00000021516.4,-0.09856499048514636
2022,ENSMMUG00000054024.1,-0.0019396451432944827,ENSMMUG00000002455.4,-0.0015960959553913215,ENSMMUG00000000730.4,0.0,ENSMMUG00000019742.4,-0.11075969954256563,ENSMMUG00000000797.4,-0.04025598201458273,ENSMMUG00000060665.1,-0.05474072701284727,ENSMMUG00000056626.1,-0.0986208366411142
2023,ENSMMUG00000004564.4,-0.00194140883354031,ENSMMUG00000063586.1,-0.0017428833063421287,ENSMMUG00000000707.4,0.0,ENSMMUG00000015089.4,-0.11108222537121347,ENSMMUG00000011454.4,-0.04039976679919922,ENSMMUG00000007335.4,-0.054957512504228576,ENSMMUG00000059292.1,-0.09902573956103121
2024,ENSMMUG00000059323.1,-0.0019698410025515765,ENSMMUG00000057451.1,-0.0017853847260365786,ENSMMUG00000000694.4,0.0,ENSMMUG00000054469.1,-0.1112734265815252,ENSMMUG00000041821.2,-0.04041316310769836,ENSMMUG00000013995.4,-0.05497311180598632,ENSMMUG00000030305.3,-0.09907587852516099
2025,ENSMMUG00000053619.1,-0.001999786331403269,ENSMMUG00000061370.1,-0.001830949300465528,ENSMMUG00000000662.4,0.0,ENSMMUG00000049630.1,-0.11176552054884943,ENSMMUG00000059651.1,-0.04065059294661711,ENSMMUG00000001374.4,-0.055102786265600306,ENSMMUG00000038836.2,-0.09909954020627058
2026,ENSMMUG00000054960.1,-0.002007733367593246,ENSMMUG00000015453.4,-0.001863559246746567,ENSMMUG00000000653.4,0.0,ENSMMUG00000054952.1,-0.11207903371328073,ENSMMUG00000053165.1,-0.04084880014232193,ENSMMUG00000003665.4,-0.055590596615815856,ENSMMUG00000058671.1,-0.09915750004379699
2027,ENSMMUG00000053845.1,-0.002007733367593246,ENSMMUG00000063562.1,-0.0018744668185554333,ENSMMUG00000000466.4,0.0,ENSMMUG00000058181.1,-0.1127141201856098,ENSMMUG00000010927.4,-0.040871953536972705,ENSMMUG00000057822.1,-0.056416584558813376,ENSMMUG00000020171.4,-0.0997214644033268
2028,ENSMMUG00000045777.2,-0.002007733367593246,ENSMMUG00000010581.4,-0.0019021221814590537,ENSMMUG00000000419.4,0.0,ENSMMUG00000022006.4,-0.11302684861313925,ENSMMUG00000003830.4,-0.04163320191179058,ENSMMUG00000063153.1,-0.05641724128794549,ENSMMUG00000011566.4,-0.09982696180153106
2029,ENSMMUG00000014293.4,-0.002007733367593246,ENSMMUG00000054405.1,-0.0019141228503581265,ENSMMUG00000000401.4,0.0,ENSMMUG00000051057.1,-0.11337969910328917,ENSMMUG00000055118.1,-0.041673399519462036,ENSMMUG00000062385.1,-0.056609250853705204,ENSMMUG00000058750.1,-0.0999525651584804
