count,virus
8.0,u64912
8.0,u54564
8.0,u49572
8.0,u42015
8.0,u52416
8.0,u51302
8.0,u51180
8.0,u45609
8.0,u41912
8.0,u44233
8.0,u39146
8.0,u44010
8.0,u44015
8.0,u32207
8.0,u39122
8.0,u35528
7.0,u235402
7.0,u235549
7.0,u114972
7.0,u65935
7.0,u205625
7.0,u114331
7.0,u225073
7.0,u183278
7.0,u225529
7.0,u116213
7.0,u224725
7.0,u184277
7.0,u33785
7.0,u35586
7.0,u87806
7.0,u33588
7.0,u173649
7.0,u65085
7.0,u224638
7.0,u267608
7.0,u224512
7.0,u124185
7.0,u242393
7.0,u220881
7.0,u20573
7.0,u276575
7.0,u276350
7.0,u102978
7.0,u84517
7.0,u92701
7.0,u223524
7.0,u64005
7.0,u223270
7.0,u195165
7.0,u39441
7.0,u99959
7.0,u193175
7.0,u101513
7.0,u191704
7.0,u281903
7.0,u190145
7.0,u199975
7.0,u104501
7.0,u189087
7.0,u104880
7.0,u105169
7.0,u265665
7.0,u39705
7.0,u201837
7.0,u292465
7.0,u107713
7.0,u108449
7.0,u108675
7.0,u37864
7.0,u39659
7.0,u186256
7.0,u211778
7.0,u294765
7.0,u161322
7.0,u134717
7.0,u42854
7.0,u160633
7.0,u261470
7.0,u213727
7.0,u42919
7.0,u137533
7.0,u30685
7.0,u140583
7.0,u257949
7.0,u141829
7.0,u32747
7.0,u43839
7.0,u144278
7.0,u144796
7.0,u45164
7.0,u32743
7.0,u250654
7.0,u254591
7.0,u216652
7.0,u245035
7.0,u237574
7.0,u243698
7.0,u167058
7.0,u244573
7.0,u129406
7.0,u129893
7.0,u130038
6.0,u241479
6.0,u199915
6.0,u256421
6.0,u92335
6.0,u35404
6.0,u129256
6.0,u198468
6.0,u94023
6.0,u144331
6.0,u34890
6.0,u62289
6.0,u145304
6.0,u96782
6.0,u97257
6.0,u256621
6.0,u283609
6.0,u99507
6.0,u282879
6.0,u166761
6.0,u256647
6.0,u50290
6.0,u256344
6.0,u43822
6.0,u256319
6.0,u150093
6.0,u87010
6.0,u43933
6.0,u251779
6.0,u251606
6.0,u149349
6.0,u251156
6.0,u128644
6.0,u35551
6.0,u27555
6.0,u203158
6.0,u153092
6.0,u64623
6.0,u202296
6.0,u38270
6.0,u147661
6.0,u50998
6.0,u255990
6.0,u200516
6.0,u200297
6.0,u64109
6.0,u100807
6.0,u115906
6.0,u257306
6.0,u115894
6.0,u239811
6.0,u177648
6.0,u136588
6.0,u23495
6.0,u185257
6.0,u160372
6.0,u238369
6.0,u276012
6.0,u183793
6.0,u111443
6.0,u112272
6.0,u271933
6.0,u40460
6.0,u243871
6.0,u245667
6.0,u32898
6.0,u133309
6.0,u56515
6.0,u263498
6.0,u30551
6.0,u273270
6.0,u107633
6.0,u247660
6.0,u34247
6.0,u104739
6.0,u229937
6.0,u190656
6.0,u156687
6.0,u281486
6.0,u34496
6.0,u281311
6.0,u42022
6.0,u60328
6.0,u139491
6.0,u242982
6.0,u186576
6.0,u157569
6.0,u105065
6.0,u45669
6.0,u259977
6.0,u279667
6.0,u122507
6.0,u107086
6.0,u260339
6.0,u158872
6.0,u280195
6.0,u150468
6.0,u6947
6.0,u37141
6.0,u72890
6.0,u206783
6.0,u72264
6.0,u36742
6.0,u207282
6.0,u37521
6.0,u293461
6.0,u10992
6.0,u11191
6.0,u66819
6.0,u206467
6.0,u79653
6.0,u12316
6.0,u69819
6.0,u65588
6.0,u211118
6.0,u13358
5.0,u213516
5.0,u209904
5.0,u42130
5.0,u226959
5.0,u295450
5.0,u246876
5.0,u183006
5.0,u163548
5.0,u207966
5.0,u244767
5.0,u260965
5.0,u47082
5.0,u135543
5.0,u34067
5.0,u274630
5.0,u291584
5.0,u135147
5.0,u263303
5.0,u162537
5.0,u230323
5.0,u79120
5.0,u79172
5.0,u180998
5.0,u286002
5.0,u114536
5.0,u94051
5.0,u262575
5.0,u10194
5.0,u92860
5.0,u82367
5.0,u274972
5.0,u221743
5.0,u77646
5.0,u66720
5.0,u270285
5.0,u211311
5.0,u120305
5.0,u41768
5.0,u270008
5.0,u124426
5.0,u294048
5.0,u130768
5.0,u239438
5.0,u52588
5.0,u41630
5.0,u99867
5.0,u282824
5.0,u223032
5.0,u41615
5.0,u242178
5.0,u194624
5.0,u267016
5.0,u33779
5.0,u49498
5.0,u179986
5.0,u229576
5.0,u272252
5.0,u22320
5.0,u76510
5.0,u41914
5.0,u128523
5.0,u118361
5.0,u178677
5.0,u66062
5.0,u220797
5.0,u195099
5.0,u238544
5.0,u68855
5.0,u59778
5.0,u199147
5.0,u184617
5.0,u85189
5.0,u257034
5.0,u155653
5.0,u225822
5.0,u249471
5.0,u43914
5.0,u110801
5.0,u110780
5.0,u185994
5.0,u110589
5.0,u148927
5.0,u14135
5.0,u215194
5.0,u148909
5.0,u108481
5.0,u37907
5.0,u144192
5.0,u215488
5.0,u148197
5.0,u10524
5.0,u218286
5.0,u32182
5.0,u184900
5.0,u43911
5.0,u34255
5.0,u44368
5.0,u153285
5.0,u255541
5.0,u153254
5.0,u38846
5.0,u57599
5.0,u43352
5.0,u150616
5.0,u286792
5.0,u108024
5.0,u39609
5.0,u73693
5.0,u158374
5.0,u183518
5.0,u64189
5.0,u112565
5.0,u59603
5.0,u216887
5.0,u278046
5.0,u107156
5.0,u107874
5.0,u34193
5.0,u275914
5.0,u32367
5.0,u38218
5.0,u257807
5.0,u45296
5.0,u107265
4.0,u271333
4.0,u178453
4.0,u239933
4.0,u79816
4.0,u109474
4.0,u39729
4.0,u276582
4.0,u109275
4.0,u185392
4.0,u41573
4.0,u232530
4.0,u119411
4.0,u119633
4.0,u185961
4.0,u24804
4.0,u269324
4.0,u24929
4.0,u108089
4.0,u108253
4.0,u276508
4.0,u79376
4.0,u271709
4.0,u183938
4.0,u235070
4.0,u183655
4.0,u234748
4.0,u113755
4.0,u40673
4.0,u182659
4.0,u113695
4.0,u182879
4.0,u293024
4.0,u175350
4.0,u113407
4.0,u112433
4.0,u183228
4.0,u113117
4.0,u113097
4.0,u293023
4.0,u233420
4.0,u179096
4.0,u56209
4.0,u22334
4.0,u238088
4.0,u117264
4.0,u109753
4.0,u184773
4.0,u180377
4.0,u109839
4.0,u237650
4.0,u57792
4.0,u22138
4.0,u34146
4.0,u55876
4.0,u37800
4.0,u40928
4.0,u273599
4.0,u175501
4.0,u243556
4.0,u122270
4.0,u37282
4.0,u256716
4.0,u256788
4.0,u45216
4.0,u143064
4.0,u249260
4.0,u295826
4.0,u214732
4.0,u140581
4.0,u258739
4.0,u259041
4.0,u295720
4.0,u45675
4.0,u259335
4.0,u138784
4.0,u32874
4.0,u158589
4.0,u69756
4.0,u42920
4.0,u214472
4.0,u214430
4.0,u158942
4.0,u159148
4.0,u159300
4.0,u160442
4.0,u160548
4.0,u69930
4.0,u144313
4.0,u122294
4.0,u144614
4.0,u217341
4.0,u252498
4.0,u217789
4.0,u43985
4.0,u44055
4.0,u253161
4.0,u70605
4.0,u151740
4.0,u216728
4.0,u148978
4.0,u152275
4.0,u32311
4.0,u254392
4.0,u216532
4.0,u152686
4.0,u148031
4.0,u32710
4.0,u71440
4.0,u153192
4.0,u32211
4.0,u153538
4.0,u295960
4.0,u44776
4.0,u295909
4.0,u256465
4.0,u245886
4.0,u213481
4.0,u134163
4.0,u47933
4.0,u265223
4.0,u167112
4.0,u128858
4.0,u128843
4.0,u243197
4.0,u128406
4.0,u220778
4.0,u128215
4.0,u27011
4.0,u170292
4.0,u242513
4.0,u125895
4.0,u241668
4.0,u171840
4.0,u171841
4.0,u267404
4.0,u52103
4.0,u124571
4.0,u172659
4.0,u41672
4.0,u173404
4.0,u267916
4.0,u174495
4.0,u240373
4.0,u33633
4.0,u166913
4.0,u211966
4.0,u42027
4.0,u162944
4.0,u30558
4.0,u295132
4.0,u47975
4.0,u219762
4.0,u262515
4.0,u74868
4.0,u48153
4.0,u213152
4.0,u133235
4.0,u48524
4.0,u244984
4.0,u162987
4.0,u129999
4.0,u37397
4.0,u131766
4.0,u263543
4.0,u263604
4.0,u164090
4.0,u164399
4.0,u164877
4.0,u264007
4.0,u30546
4.0,u42073
4.0,u130415
4.0,u34229
4.0,u271106
4.0,u282871
4.0,u95236
4.0,u194577
4.0,u280932
4.0,u189370
4.0,u222795
4.0,u227234
4.0,u95618
4.0,u286664
4.0,u64183
4.0,u194155
4.0,u39464
4.0,u39209
4.0,u100681
4.0,u64531
4.0,u197200
4.0,u87562
4.0,u88368
4.0,u87553
4.0,u285725
4.0,u226799
4.0,u283907
4.0,u94383
4.0,u81243
4.0,u94371
4.0,u288040
4.0,u38226
4.0,u230911
4.0,u17279
4.0,u82505
4.0,u288284
4.0,u34498
4.0,u96936
4.0,u15275
4.0,u203430
4.0,u96861
4.0,u96744
4.0,u190808
4.0,u102554
4.0,u96660
4.0,u39213
4.0,u282047
4.0,u200208
4.0,u224016
4.0,u201088
4.0,u226012
4.0,u284182
4.0,u196513
4.0,u230754
4.0,u205451
4.0,u90355
4.0,u15091
4.0,u14792
4.0,u194029
4.0,u285636
4.0,u191624
4.0,u92129
4.0,u63720
4.0,u222327
4.0,u206150
4.0,u200083
4.0,u35701
4.0,u18240
4.0,u84321
4.0,u225252
4.0,u290883
4.0,u289175
4.0,u282761
4.0,u89319
4.0,u106725
4.0,u18293
4.0,u286213
4.0,u39670
4.0,u231266
4.0,u64467
4.0,u226445
4.0,u187914
4.0,u224199
4.0,u15820
4.0,u282783
4.0,u226629
4.0,u105627
4.0,u67197
4.0,u204704
4.0,u229249
3.0,u69095
3.0,u257544
3.0,u140826
3.0,u41806
3.0,u121665
3.0,u97182
3.0,u99708
3.0,u126190
3.0,u41585
3.0,u36727
3.0,u141823
3.0,u125522
3.0,u287161
3.0,u37751
3.0,u170440
3.0,u258152
3.0,u223016
3.0,u83221
3.0,u215036
3.0,u61817
3.0,u228252
3.0,u39236
3.0,u248970
3.0,u77255
3.0,u25825
3.0,u122292
3.0,u61408
3.0,u155467
3.0,u291436
3.0,u283985
3.0,u223222
3.0,u38299
3.0,u283668
3.0,u155629
3.0,u39436
3.0,u215069
3.0,u90070
3.0,u256913
3.0,u52559
3.0,u26028
3.0,u45248
3.0,u15730
3.0,u155707
3.0,u293983
3.0,u268025
3.0,u172229
3.0,u283447
3.0,u45277
